customer_id,customer_name,region_code,region_name,user_id,user_code,segment_letter
4,"СППСК ""Зерос""",48,Липецкая область,6,"Dolmatov, Evgeny",B
5,ЗАО Ивово (Колос Агро),48,Липецкая область,27,"Retunskiy, Maksim",B
6,КФХ Приволье-1,48,Липецкая область,27,"Retunskiy, Maksim",B
7,ООО Золотая Нива (Липецкая сортоиспытательная станция),48,Липецкая область,27,"Retunskiy, Maksim",A
8,ООО Липецкптица,48,Липецкая область,27,"Retunskiy, Maksim",C
9,"ОАО Рудничное"", (КолоСС ООО)",48,Липецкая область,27,"Retunskiy, Maksim",A
11,ООО Вербиловское (Данон),48,Липецкая область,27,"Retunskiy, Maksim",B
12,ООО Май,48,Липецкая область,27,"Retunskiy, Maksim",B
13,ООО Новолипецкое,48,Липецкая область,27,"Retunskiy, Maksim",B
14,"ООО Стройсельхозгарант (ООО ""Благое"")",48,Липецкая область,27,"Retunskiy, Maksim",C
16,СХПК Березка,48,Липецкая область,27,"Retunskiy, Maksim",C
17,"ООО АПО ""Дружба""",48,Липецкая область,6,"Dolmatov, Evgeny",B
18,"КФХ ""Байгора""",48,Липецкая область,6,"Dolmatov, Evgeny",B
19,КФХ Зыбин В.В,48,Липецкая область,6,"Dolmatov, Evgeny",D
20,ООО Карамышевское,48,Липецкая область,6,"Dolmatov, Evgeny",C
22,ЗАО АПП Кировское,48,Липецкая область,6,"Dolmatov, Evgeny",C
23,КФХ Колобовников А.С,48,Липецкая область,6,"Dolmatov, Evgeny",D
24,ИП Золотарев Владимир Иванович,48,Липецкая область,6,"Dolmatov, Evgeny",B
25,КФХ Плохих В.Д.,48,Липецкая область,27,"Retunskiy, Maksim",C
26,КФХ Попов В.И,48,Липецкая область,6,"Dolmatov, Evgeny",C
27,КХ Начало,48,Липецкая область,6,"Dolmatov, Evgeny",D
28,ООО Агрокомплекс Добровский (Доминант),48,Липецкая область,6,"Dolmatov, Evgeny",A
29,"ООО ""Агроконсалтинг""",48,Липецкая область,6,"Dolmatov, Evgeny",A
31,ООО Путятинское,48,Липецкая область,6,"Dolmatov, Evgeny",C
32,ООО Липовка (Добровский район),48,Липецкая область,6,"Dolmatov, Evgeny",D
33,ИП Антонова Ю.В.,48,Липецкая область,27,"Retunskiy, Maksim",D
34,КФХ  Терешкин В.Н,48,Липецкая область,27,"Retunskiy, Maksim",D
37,ООО Новочемодановское,48,Липецкая область,27,"Retunskiy, Maksim",C
39,ООО Хлебороб (Лев-Толстовский район),48,Липецкая область,27,"Retunskiy, Maksim",C
41,СХПК Ленина,48,Липецкая область,27,"Retunskiy, Maksim",D
42,ЗАО Возрождение,48,Липецкая область,12,"Kalinin, Maksim",C
44,ЗАО Данковский Солод,48,Липецкая область,12,"Kalinin, Maksim",C
45,"КФХ ""Дубок""",48,Липецкая область,12,"Kalinin, Maksim",C
46,КФХ Кровопусков,48,Липецкая область,12,"Kalinin, Maksim",D
47,КФХ Полесье,48,Липецкая область,12,"Kalinin, Maksim",C
48,"ООО ""Данков-Агроинвест""",48,Липецкая область,12,"Kalinin, Maksim",D
50,"ООО АПК ""Русагроальянс""",48,Липецкая область,27,"Retunskiy, Maksim",A
51,ООО Данковские фермы,48,Липецкая область,12,"Kalinin, Maksim",D
