customer_id,customer_name,region_code,region_name,user_id,user_code,segment_letter
1,"НПК ""Русское Поле""",34,Волгоградская область,1,"Сергеев, Владимир",B
2,Европа-Биофарм,34,Волгоградская область,2,"Фёдоров, Игорь",A
3,Агротехснаб,64,Саратовская область,3,"Мышкин, Станислав",B
4,Агрохолдинг Заречное,73,Ульяновская область,4,"Гурьев, Архип",A
5,ООО «Шатовка»,52,Нижегородская область,5,"Кошелев, Яков",A
6,СПК «Лискинский»,36,Воронежская область,6,"Федотов, Эльдар",C
7,АРЕФИНО ЗАО,52,Нижегородская область,7,"Калинин, Клемент",C
8,ВЛАСТЬ СОВЕТОВ» КОЛХОЗ,52,Нижегородская область,8,"Федосеев, Владимир",B
9,Вертячинский,34,Волгоградская область,9,"Молчанов, Мирон",A
10,ООО «АРГО»,34,Волгоградская область,10,"Калашников, Ярослав",C
11,«НПФ «Гавриш»,34,Волгоградская область,11,"Николаев, Гаянэ",C
12,Агроремторг,71,Тульская область,12,"Владимиров, Зиновий",C
13,ВЕРНЫЙ ПУТЬ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,13,"Гришин, Корнелий",A
14,Сады Придонья,34,Волгоградская область,14,"Кириллов, Бронислав",C
15,ВЕРЯКУШСКИЙ» СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,15,"Фролов, Самуил",A
16,"ДАВЫДОВСКОЕ, ООО",33,Владимирская область,16,"Герасимов, Рубен",B
17,Агрорезерв-СВ,56,Оренбургская область,17,"Павлов, Леонтий",B
18,ВАЛКОВСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,18,"Игорьентьев, Тимур",A
19,"ООО ""Сибирские семена""",55,Омская область,19,"Данилов, Ибрагил",B
20,АТЕМАСОВО ООО,52,Нижегородская область,20,"Кудряшов, Игорь",A
21,СПК «Березники»,52,Нижегородская область,21,"Исаков, Геннадий",A
22,"ОКТЯБРЬСКИЙ, СПК",36,Воронежская область,22,"Кононов, Адриан",B
23,"НПООО ""Подсолнечник""",34,Волгоградская область,23,"Андреев, Ибрагил",B
24,Колхоз Заря,68,Тамбовская область,24,"Исаев, Иван",A
25,"ООО ""Нововаршавская семеноводческая станция",55,Омская область,25,Кондратьев Роберт,C
26,ВАЧСКАЯ МАШИННО-ТРАКТОРНАЯ СТАНЦИЯ (ООО),52,Нижегородская область,26,"Беляев, Велорий",A
27,Интерпарк-Агро,64,Саратовская область,27,"Михеев, Валентин",B
28,"ВЛАДИМИРСКИЕ ОВОЩИ, ООО",33,Владимирская область,28,"Рогов, Артем",A
29,ВОСКРЕСЕНСКОЕ АГРАРНОЕ ПРЕДПРИЯТИЕ (ООО),52,Нижегородская область,29,"Игнатов, Лука",B
30,ЛПХ Заканальная,34,Волгоградская область,30,"Казаков, Адриан",A
31,Фермер Орловская область,57,Орловская область,31,"Князев, Исак",B
32,АГРОПРОМЫШЛЕННОЕ ПРЕДПРИЯТИЕ ИМЕНИ КИРОВА (ОАО),52,Нижегородская область,32,"Королёв, Лука",B
33,Промагроснаб,64,Саратовская область,33,"Рожков, Алан",B
34,"Агротехнический центр ""Агрегат""",71,Тульская область,1,"Сергеев, Владимир",A
35,Агродон-холдинг,62,Рязанская область,2,"Фёдоров, Игорь",C
36,ВЕЛИКОВСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,3,"Мышкин, Станислав",A
37,МК АВИДА,31,Белгородская область,4,"Гурьев, Архип",B
38,АЗРАПИНСКИЙ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,5,"Кошелев, Яков",C
39,ВОЗРОЖДЕНИЕ ОАО,52,Нижегородская область,6,"Федотов, Эльдар",A
40,1 Мая СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,7,"Калинин, Клемент",A
41,БУТУРИНСКОЕ ЗЕРНО АГРОХОЛДИНГ,52,Нижегородская область,8,"Федосеев, Владимир",A
42,Земля,64,Саратовская область,9,"Молчанов, Мирон",A
43,ПартсОйл-АГРО,71,Тульская область,10,"Калашников, Ярослав",A
44,Вита – 92,64,Саратовская область,11,"Николаев, Гаянэ",C
45,АПК ДОН,31,Белгородская область,12,"Владимиров, Зиновий",C
46,"БЕЛЯНИЦИНО, СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ",33,Владимирская область,13,"Гришин, Корнелий",B
47,ООО Верякуши (Щигровский район),52,Нижегородская область,14,"Кириллов, Бронислав",C
48,АГРОПРОМЫШЛЕННАЯ КОМПАНИЯ (ЗАО),52,Нижегородская область,15,"Фролов, Самуил",C
49,СХА «Рассвет»,36,Воронежская область,16,"Герасимов, Рубен",B
50,ВЕЛЬДЕМАНОВСКОЕ ОАО,52,Нижегородская область,17,"Павлов, Леонтий",B
51,БУТУРЛИНСКАЯ ПТИЦЕФАБРИКА (ОАО),52,Нижегородская область,18,"Игорьентьев, Тимур",B
52,ВОЛЖАНИН СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,19,"Данилов, Ибрагил",C
53,Партнер Агро,57,Орловская область,20,"Кудряшов, Игорь",A
54,Мехмаш,71,Тульская область,21,"Исаков, Геннадий",B
55,"АГРОПРОМ, ЗАО",33,Владимирская область,22,"Кононов, Адриан",B
56,"ООО ""Переработка""",55,Омская область,23,"Андреев, Ибрагил",C
57,Новые Агротехнологии-Саратов,64,Саратовская область,24,"Исаев, Иван",B
58,"АБРАМОВ А.М., ИНДИВИДУАЛЬНОЕ ПРЕДПРИЯТИЕ",71,Тульская область,25,Кондратьев Роберт,B
59,СПК «Колхоз Заря»,52,Нижегородская область,26,"Беляев, Велорий",C
60,АВАНГАРД СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,27,"Михеев, Валентин",C
61,ООО «СПК «Ждановский»,52,Нижегородская область,28,"Рогов, Артем",C
62,Энгельсское  Саратовская область Ивановский район. ИНН 65146954984,64,Саратовская область,29,"Игнатов, Лука",B
63,КОМСОМОЛЕЦ СЕЛЬСКОХОЗЯЙСТВЕННЫЙ ПРОИЗВОДСТВЕННЫЙ КООПЕРАТИВ,52,Нижегородская область,30,"Казаков, Адриан",A
64,ООО «Бутурлинское зерно»,52,Нижегородская область,31,"Князев, Исак",C
