,event_id,user_id,user_code,plan_date,close_date,customer_id,region_name,region_code,deal_id,description,close_comment
0,50213.0,10.0,,2021-12-10,,850.0,Воронежская область,36.0,3764.0,Встреча. Переговоры по сделке.,
1,50212.0,10.0,,2021-12-09,,4786.0,Воронежская область,36.0,6011.0,Встреча. Переговоры по сделке.,
2,50211.0,10.0,,2021-12-09,,,,0.0,,Работа в офисе.,
3,50210.0,10.0,,2021-12-08,,,,0.0,,Работа в офисе.,
4,50209.0,10.0,,2021-12-07,,4430.0,Воронежская область,36.0,,Встреча. Переговоры по сделке.,
5,50208.0,10.0,,2021-12-07,,5020.0,Воронежская область,36.0,4501.0,Встреча. Переговоры по сделке.,
6,50207.0,10.0,,2021-12-07,,2751.0,Воронежская область,36.0,5678.0,Встреча. Переговоры по сделке.,
7,50206.0,10.0,,2021-12-07,,840.0,Воронежская область,36.0,4995.0,Встреча. Переговоры по сделке.,
8,50205.0,10.0,,2021-12-06,,,,0.0,,Работа в офисе.,
9,50204.0,9.0,,2021-12-08,2021-12-13,,,0.0,,ВОСТОК-АГРО Встреча совместно с Дмитриевым Павлом. Встреча с Коноваловым И.А. По сделкам 3 единицы тракторов и РУКАС 300,Встреча с директором ВОСТОК-АГРО по сделкам. Ждём аванс за РУКАС и трактора
10,50203.0,33.0,,2021-11-25,2021-11-25,1292.0,Тамбовская область,68.0,5738.0,"Встреча с руководителем, по вопросу приобретения комплекса","Руководитель так же проявляет свою заинтересованность в приобретении 15 метрового комплекса, но крайне не устраивают сроки поставки, по информации от клиента, ДД так же не имеют возможности поставки комплекса на весеннюю посевную, планирую увести клиента на поставку в июле, под посев озимых"
11,50202.0,9.0,,2021-12-08,2021-12-08,4946.0,Воронежская область,36.0,6176.0,Встреча КФХ Горбулев С.Г. Встреча совместно с Дмитриевым Павлом,"Трактор рассматривает, но пока по финансам не тянет, договорились созвониться в конце февраля договориться о повторной встрече для более конструктивного разговора"
12,50201.0,9.0,,2021-12-07,2021-12-07,,,0.0,,Павловский филиал. Срочная работа с документами для КФХ Белик,Павловский филиал. Срочная работа с документами для КФХ Белик
13,50199.0,9.0,,2021-12-07,2021-12-07,3080.0,Воронежская область,36.0,6136.0,Встреча КФХ Белик В.В.,Работа с документами по сделке после отгрузки. Запрос от клиента документов для банка.
14,50198.0,9.0,,2021-12-06,2021-12-06,,,0.0,,Работа в офисе. Работа с документами.,Работа в офисе. Работа с документами.
15,50197.0,9.0,,2021-12-03,2021-12-03,,,0.0,,Работа в офисе. Работа с документами. Решение вопросов по недопоставке комплектующих.,Работа в офисе. Работа с документами. Решение вопросов по недопоставке комплектующих.
16,50196.0,9.0,,2021-12-02,2021-12-02,3080.0,Воронежская область,36.0,5277.0,Встреча КФХ Белик В.В.,Отгрузка трактора и проведение предпродажной подготовки
17,50195.0,9.0,,2021-12-01,2021-12-01,,,0.0,,Работа в офисе. Работа с документами,Работа в офисе. Работа с документами
18,50194.0,27.0,,2021-12-09,2021-12-13,5155.0,Липецкая область,48.0,5651.0,"Встреча ООО ""Стар Финанс"" (Сделка с ООО ""Стар Финанс"")",Клиент сказал что до НГ рассчитается  с нами.
19,50193.0,27.0,,2021-12-10,2021-12-13,4458.0,Липецкая область,48.0,5297.0,"Встреча ООО ""Ф-Сервис"" (Сделка с ООО ""Ф-Сервис"")","Встреча с клиентом в городе, клиент сказал что постарается до НГ согласно договора закрыть свои обязанности."
20,50192.0,27.0,,2021-12-02,2021-12-13,50.0,Липецкая область,48.0,5420.0,"Встреча ООО АПК ""Русагроальянс"" (Сделка с ООО АПК ""Русагроальянс"")","Клиент приобрел трактор ДД 8410 гусеничный, у нас по срокам поставки на весну   печально."
21,50191.0,27.0,,2021-12-10,2021-12-13,4801.0,Липецкая область,48.0,6213.0,"Встреча ООО ""Соколье Агро"" (Сделка с ООО ""Соколье Агро"")","Клиент подписал договора на бу технику, во вторник запланирована отгрузка комбайнов."
22,50190.0,6.0,,2021-12-07,,145.0,Липецкая область,48.0,5863.0,"Встреча ООО ""Агрохолдинг-АСТ"" (Сделка с ООО ""Агрохолдинг-АСТ"")",
23,50189.0,6.0,,2021-12-07,2021-12-07,142.0,Липецкая область,48.0,4705.0,"Встреча АО ""Грачевское""","Встреча с гл инженером Михаилом в Усмани. Со слов инженера пока не рассматривают покупку комбайна. Клиент готов сейчас купить новую  жатку флекс 9м,  а свою продать. С нашей стороны я подтвердил, что не можем продать  жатку флекс 9м, так как все  жатки  заказаны под комбайны."
24,50188.0,6.0,,2021-12-09,2021-12-09,,,0.0,,Работа  в офисе ( прохождение тест ),Работа в офисе( сдача тест от CNH)
25,50187.0,14.0,,2021-12-13,,,,0.0,,совещание отдела продаж,
26,50186.0,14.0,,2021-12-10,,2209.0,Воронежская область,36.0,6306.0,Встреча ООО Нива (Калачеевский район) переговоры по тракторам,
27,50185.0,6.0,,2021-12-06,2021-12-06,,,0.0,,Работа в офисе,Работа в офисе
28,50184.0,14.0,,2021-12-10,,2216.0,Воронежская область,36.0,5083.0,Встреча ЗАО Манино (Калачеевский район) переговоры по рукасу,
29,50183.0,14.0,,2021-12-10,,2214.0,Воронежская область,36.0,5882.0,"Встреча ООО ""Калач-Агро-Комплекс"" (Калачеевский р-н) презентация предложения по комбайну",
30,50182.0,14.0,,2021-12-09,,4304.0,Воронежская область,36.0,5782.0,Встреча ООО Золотой Початок (Павловский район) переговоры,
31,50181.0,14.0,,2021-12-09,,3136.0,Воронежская область,36.0,6369.0,"Встреча ЗАО Агрофирма ""Апротек-Подгоренская"" переговоры по сделке",
32,50180.0,32.0,,2021-12-10,2021-12-13,2044.0,Воронежская область,36.0,5688.0,Встреча. Переговоры по опрыскивателю.,"Проведена встреча с руководителем хозяйства в нашем офисе, клиент готов заключать с нами договор, но если мы оставим для него старую цену. Согласовываю цену с Доценко М."
33,50179.0,32.0,,2021-12-10,2021-12-13,,,0.0,,Работа в офисе.,Проведена работа в офисе.
34,50178.0,32.0,,2021-12-09,2021-12-13,2903.0,Воронежская область,36.0,6209.0,Встреча. Переговоры по трактору.,"Проведена встреча с руководителем хозяйства, вроде договорились с ним, что заплатит аванс - 10% в пятницу 10.12.2021г. Переделываем договор."
35,50177.0,32.0,,2021-12-08,2021-12-13,5187.0,Воронежская область,36.0,5762.0,Встреча. Переговоры по трактору.,"Проведена встреча с руководителем хозяйства, говорит купил трактор КИРОВЕЦ К-5, цена 7 200 000 рублей. Закрываю сделку."
